,I-Count,Label(m0/f1)
1488,0,0
1489,0,0
1490,0,0
1491,2,1
1492,23,1
1493,0,0
1494,4,0
1495,2,0
1496,1,0
1497,39,1
1498,0,1
1499,0,0
1500,0,0
1501,5,1
1502,2,0
1503,8,0
1504,34,0
1505,9,1
1506,0,0
1507,0,0
1508,7,1
1509,0,0
1510,2,0
1511,0,0
1512,4,0
1513,2,1
1514,24,0
1515,0,1
1516,5,1
1517,0,0
1518,0,0
1519,0,0
1520,4,0
1521,0,1
1522,2,0
1523,4,0
1524,37,0
1525,7,0
1526,1,0
1527,2,0
1528,1,0
1529,2,0
1530,4,1
1531,8,1
1532,0,0
1533,3,1
1534,20,0
1535,21,0
1536,0,0
1537,0,0
1538,2,0
1539,7,0
1540,5,0
1541,0,1
1542,27,1
1543,1,0
1544,1,0
1545,0,1
1546,0,1
1547,67,0
1548,4,0
1549,3,0
1550,9,1
1551,0,0
1552,16,0
1553,1,1
1554,30,0
1555,6,0
1556,48,0
1557,5,0
1558,8,0
1559,6,1
1560,0,0
1561,3,0
1562,2,0
1563,0,0
1564,1,0
1565,58,0
1566,9,0
1567,10,0
1568,13,1
1569,0,1
1570,32,0
1571,0,1
1572,2,0
1573,3,0
1574,3,1
1575,0,0
1576,0,1
1577,18,0
1578,0,0
1579,1,0
1580,5,0
1581,5,0
1582,2,0
1583,3,0
1584,0,0
1585,52,0
1586,3,0
1587,0,1
1588,7,1
1589,1,0
1590,0,0
1591,4,0
1592,1,1
1593,6,0
1594,2,0
1595,0,0
1596,1,0
1597,17,1
1598,6,0
1599,1,0
1600,6,0
1601,3,0
1602,12,1
1603,5,0
1604,6,1
1605,3,1
1606,7,0
1607,1,0
1608,1,0
1609,5,1
1610,2,0
1611,0,0
1612,7,0
1613,1,1
1614,2,0
1615,3,0
1616,1,0
1617,4,0
1618,20,0
1619,8,0
1620,9,1
1621,14,0
1622,2,0
1623,5,1
1624,6,0
1625,11,1
1626,0,0
1627,0,0
1628,31,0
1629,55,0
1630,2,0
1631,6,0
1632,2,0
1633,9,0
1634,12,0
1635,1,0
1636,0,0
1637,0,0
1638,0,0
1639,8,1
1640,0,0
1641,1,0
1642,0,0
1643,0,0
1644,0,0
1645,22,0
1646,1,1
1647,13,0
1648,0,1
1649,16,1
1650,7,0
1651,7,0
1652,2,0
1653,1,1
1654,1,0
1655,3,1
1656,6,0
1657,0,0
1658,2,1
1659,0,0
1660,0,1
1661,2,0
1662,7,1
1663,10,0
1664,1,0
1665,6,0
1666,4,1
1667,4,0
1668,49,1
1669,39,1
1670,0,1
1671,12,0
1672,0,1
1673,0,0
1674,17,0
1675,19,0
1676,5,1
1677,27,1
1678,18,0
1679,0,0
1680,4,0
1681,0,0
1682,0,0
1683,0,0
1684,7,0
1685,1,0
1686,3,0
1687,1,0
1688,4,0
1689,4,0
1690,6,1
1691,1,1
1692,3,0
1693,2,0
1694,0,0
1695,2,0
1696,0,0
1697,16,1
1698,0,0
1699,29,1
1700,0,0
1701,9,0
1702,5,0
1703,21,0
1704,0,0
1705,0,0
1706,14,0
1707,1,1
1708,5,0
1709,2,0
1710,2,1
1711,46,1
1712,0,1
1713,0,0
1714,0,0
1715,1,0
1716,3,0
1717,2,0
1718,2,0
1719,4,0
1720,1,0
1721,1,0
1722,0,0
1723,0,0
1724,22,1
1725,9,1
1726,1,0
1727,2,0
1728,4,0
1729,2,0
1730,0,1
1731,0,0
1732,0,0
1733,1,0
1734,2,1
1735,0,0
1736,33,0
1737,0,1
1738,0,0
1739,8,0
1740,9,0
1741,5,1
1742,0,0
1743,1,1
1744,5,0
1745,1,0
1746,0,0
1747,1,0
1748,2,0
1749,15,0
1750,3,0
1751,5,0
1752,0,0
1753,0,0
1754,8,0
1755,33,0
1756,0,0
1757,18,0
1758,0,1
1759,8,0
1760,1,0
1761,19,1
1762,1,0
1763,1,0
1764,6,1
1765,0,1
