Column1,I-Count,Label(m0/f1),SortKey
3034,8,0,0.114704053
909,0,0,0.114726092
1849,9,1,0.114794569
2404,1,0,0.114965284
2117,1,0,0.115088875
220,1,0,0.115150245
2399,0,1,0.115150819
3737,16,1,0.115218841
4289,2,0,0.115389369
4766,0,0,0.11562371
2154,1,1,0.115710845
5092,0,0,0.115833656
586,3,1,0.116269734
3706,2,1,0.116579324
143,3,0,0.117143224
3060,3,0,0.117234282
980,1,1,0.117416312
4498,1,1,0.117454493
4947,1,0,0.117467803
2043,11,1,0.117773402
3328,8,0,0.117876709
4160,5,0,0.118050959
3744,2,0,0.118089614
5045,0,1,0.118625155
4765,15,1,0.118648297
3035,26,1,0.118908305
3539,2,1,0.119142758
447,4,0,0.119158559
5228,31,1,0.119288441
3316,0,1,0.119308113
3183,0,1,0.119346991
3702,11,0,0.119606481
5358,18,0,0.119972527
2263,1,1,0.12007155
5195,0,1,0.120191008
4387,0,0,0.120235757
1666,4,1,0.120340838
3387,6,0,0.120454974
1451,3,0,0.120611727
5322,70,0,0.120851866
421,7,0,0.121200792
2478,2,0,0.121289495
3504,0,0,0.121638576
5171,0,0,0.121714556
1377,6,0,0.122139862
3389,5,0,0.122301756
4906,0,0,0.122478309
2020,8,1,0.122601827
3903,2,0,0.122720911
1500,0,0,0.122806026
1536,0,0,0.122974201
4114,12,0,0.123356389
1414,15,0,0.12337978
3019,0,0,0.123439458
3182,1,1,0.123536657
3802,3,0,0.123838031
4981,0,1,0.124520496
5109,1,0,0.124662256
1969,9,0,0.125067464
4398,11,1,0.125340631
1013,7,0,0.12554806
645,4,1,0.125687696
4125,3,1,0.125764992
3875,14,1,0.126045254
4917,3,0,0.12618972
4821,2,1,0.126506208
2715,0,0,0.126633551
5153,0,1,0.126672562
1200,0,0,0.126810368
2669,1,0,0.126893765
1955,15,0,0.127593035
3750,1,1,0.127618296
5457,6,0,0.128145754
4291,0,0,0.128329587
2631,1,0,0.128389723
732,2,1,0.128477697
3062,0,0,0.128788844
4787,2,0,0.128807355
569,2,1,0.128936418
1999,0,0,0.129640578
2582,2,0,0.129744986
1535,21,0,0.129814156
3007,0,0,0.130326611
5362,0,1,0.130334658
1362,5,0,0.130363087
3061,0,0,0.130788461
3626,3,0,0.131022419
439,1,0,0.131674216
3345,0,0,0.131765577
174,0,0,0.131959343
372,3,0,0.132033693
5173,0,0,0.132089896
1782,8,0,0.132175816
675,9,0,0.132275405
2089,0,0,0.132394293
5113,1,0,0.132744882
2689,2,1,0.133031351
5450,6,1,0.13314729
1448,14,0,0.133178615
2211,7,1,0.133388522
120,7,0,0.133597148
2589,0,0,0.133876638
4135,0,0,0.134034824
1629,55,0,0.134249927
3985,3,1,0.134435741
2934,2,0,0.134451289
1431,0,0,0.134461589
2013,0,0,0.134571649
5328,7,1,0.134681858
2049,9,1,0.134915733
3065,5,0,0.135082526
2374,9,1,0.135096601
1309,0,1,0.135174159
456,7,1,0.135290133
4826,0,0,0.135306676
3697,5,1,0.135530305
3462,4,0,0.135550709
1825,2,0,0.135679988
1938,1,0,0.136417869
3895,2,0,0.136835234
4529,0,0,0.136895235
179,2,1,0.137151184
5124,8,1,0.137164313
3175,1,0,0.137479033
4499,0,0,0.137535901
2253,1,0,0.137587403
5247,14,1,0.138317302
3354,1,0,0.138668047
5239,20,0,0.138846326
616,0,0,0.139321694
2980,2,0,0.139460814
2886,1,0,0.139483163
3460,2,0,0.139508165
739,0,1,0.139742864
1606,7,0,0.140099173
428,2,0,0.140116915
1404,11,1,0.14018282
3633,5,0,0.14023488
3684,14,0,0.140287852
761,0,0,0.140446526
3763,0,0,0.140490022
1216,1,1,0.140510677
3348,0,0,0.140562874
4281,2,0,0.14071673
5417,0,0,0.140885929
2546,6,0,0.14105504
3513,3,1,0.141542122
5419,12,0,0.141708884
5245,31,1,0.141802288
3119,5,0,0.141899561
2300,10,0,0.141904564
3160,0,0,0.142354266
4754,0,0,0.142463499
5305,2,1,0.142613151
1312,0,0,0.142700092
2163,0,1,0.142738033
3538,4,0,0.142856517
498,0,0,0.143118975
1576,0,1,0.143151898
1640,0,0,0.143172025
4164,5,0,0.14355231
1274,1,0,0.143603587
2733,7,0,0.143772755
1254,1,0,0.143913623
4137,5,0,0.144202831
4025,0,0,0.145124873
3617,8,1,0.145139279
495,1,0,0.145185235
329,10,0,0.1454901
4884,7,0,0.145655969
2036,1,0,0.145791578
65,4,0,0.146142601
5099,0,0,0.146168993
2137,0,0,0.146186678
360,1,0,0.146232322
4055,11,0,0.146609104
5265,0,0,0.14675455
5174,1,1,0.146827736
5342,17,1,0.146839829
1919,1,0,0.147038783
3719,0,0,0.147229071
4326,2,1,0.147556943
3232,3,1,0.14758416
2696,3,0,0.147634746
1978,3,0,0.147846745
1291,6,0,0.148420108
800,1,0,0.148465582
4935,18,1,0.148659947
2474,2,1,0.148751978
4391,0,0,0.148845022
4060,12,0,0.149487667
349,0,0,0.149703835
1652,2,0,0.149755632
2602,2,0,0.149858819
2249,0,1,0.150288887
258,5,0,0.150396755
4516,26,1,0.150433204
3548,2,0,0.150483875
5010,1,0,0.150626381
3366,0,0,0.150885237
4022,0,0,0.151079797
2604,18,1,0.151160144
4726,2,0,0.151294054
1619,8,0,0.151734202
518,0,0,0.15185753
5241,2,0,0.151980586
2742,10,0,0.152213351
2194,4,0,0.152271214
2976,2,0,0.152551675
2213,0,0,0.152660617
2731,1,1,0.152809855
2701,0,0,0.15294104
3528,0,0,0.152944329
4674,5,0,0.152947739
3754,0,0,0.15311991
2303,0,0,0.153198252
3276,0,0,0.15336753
1777,2,0,0.153376324
4724,0,0,0.153483119
3982,18,0,0.153915248
3146,14,0,0.154461092
1850,0,0,0.154554914
5315,22,0,0.154782878
4205,1,0,0.15537516
565,0,1,0.15551026
2290,17,1,0.155523772
1278,5,0,0.155560153
4138,1,0,0.155867563
5032,0,0,0.156393854
3629,6,1,0.156577285
1338,2,1,0.156586585
2665,1,0,0.156675088
61,0,0,0.156737358
2961,9,0,0.157076253
2871,0,0,0.157104144
5426,3,0,0.157603295
1335,3,0,0.157685263
1694,0,0,0.157851839
3562,0,1,0.158099149
368,7,0,0.158732206
1367,0,0,0.15892629
4244,22,1,0.159165601
8,0,0,0.159187327
4788,0,0,0.159348653
5178,8,1,0.159380028
1745,1,0,0.15976792
5317,5,0,0.159854967
1530,4,1,0.159860683
2685,0,0,0.159929688
2625,11,0,0.160561964
4264,4,0,0.160581001
3994,32,0,0.160630748
1226,0,0,0.160728829
3806,39,1,0.160885184
1283,2,0,0.161234352
271,4,1,0.161301825
3270,15,1,0.161393679
2274,7,0,0.161428246
70,0,0,0.161858322
3031,1,0,0.162089991
4107,0,0,0.16242857
4238,0,1,0.162509376
597,0,0,0.162554507
4828,11,0,0.162626304
2034,1,0,0.162791377
4807,1,0,0.163358565
3866,0,0,0.163417906
4099,1,1,0.163780302
962,4,1,0.164313677
149,21,0,0.164353446
5260,1,1,0.164833622
2165,3,1,0.164869921
5368,5,1,0.164946695
2502,0,0,0.164953162
1878,0,0,0.165636445
4410,0,1,0.165907644
2673,4,0,0.166262947
1976,1,0,0.166382286
908,38,1,0.166545568
1731,0,0,0.166806742
3683,3,0,0.166901457
4952,0,0,0.166956842
3242,63,0,0.166984366
452,5,1,0.167382015
2569,8,1,0.167465706
4282,0,0,0.167693467
148,10,0,0.167775741
182,1,1,0.167797296
3832,5,1,0.168911879
430,1,0,0.168913039
2305,3,0,0.168990342
4535,0,0,0.16900513
1180,0,0,0.169600918
660,2,0,0.169622755
4015,0,0,0.169832471
3741,0,1,0.170315561
4789,2,1,0.170761069
3116,0,1,0.170761312
2271,0,0,0.171042189
3663,0,0,0.171276914
5200,9,1,0.1715352
150,0,0,0.171776984
1933,0,1,0.171844924
3950,0,0,0.171934986
2086,1,0,0.172268131
81,1,0,0.17244128
5059,0,0,0.172504959
3917,0,1,0.17270103
3835,33,1,0.172833163
1706,14,0,0.173210957
4073,0,0,0.173460857
4032,0,0,0.173561263
4312,10,1,0.17361038
1867,19,0,0.173805402
2882,7,1,0.173880627
4430,11,0,0.173884369
3536,2,0,0.173895539
2235,1,0,0.173942921
3216,37,0,0.174232768
2638,4,0,0.174473687
2078,22,1,0.174486938
615,1,0,0.174599918
23,3,0,0.174940609
2495,1,0,0.175038908
724,1,0,0.175553858
631,3,0,0.175708264
363,1,1,0.17578375
2292,1,0,0.175924425
4794,0,0,0.176007169
2839,0,0,0.17612451
1835,1,0,0.176384231
3715,92,0,0.176547389
864,1,0,0.176705693
1961,34,1,0.176764915
753,3,0,0.176810254
2868,11,0,0.176898347
3108,3,0,0.176898401
3603,0,0,0.177096353
3887,12,0,0.177406465
1906,2,0,0.17753093
5453,4,0,0.17767853
4593,1,0,0.177755397
4596,5,0,0.178118211
2208,23,1,0.178300544
1935,3,0,0.178505283
2793,10,0,0.178611623
797,7,0,0.178703893
5353,3,0,0.178715403
3476,3,0,0.17877521
3090,23,1,0.178781686
5058,2,0,0.178797178
2981,1,0,0.178798484
609,0,0,0.179003994
402,7,0,0.179292318
4228,7,1,0.17937811
840,0,1,0.179603358
1065,1,0,0.179872235
2107,2,0,0.180318371
1206,1,1,0.180949147
863,26,0,0.18109636
1015,4,0,0.181507647
3377,21,0,0.18220056
2655,10,1,0.182213551
3735,48,1,0.182564216
376,0,0,0.182577392
3205,5,1,0.182659605
2991,3,1,0.183257331
4269,4,1,0.183410108
605,4,0,0.183546071
1720,1,0,0.183660628
19,3,1,0.183737461
5094,2,1,0.183795663
4347,0,0,0.184130417
1830,6,1,0.184307603
2402,4,0,0.184416292
2221,6,1,0.184546884
3068,0,1,0.184770397
5267,0,0,0.185855985
3943,1,0,0.186324493
4972,1,0,0.186468224
3055,2,0,0.186580326
5395,45,1,0.186595956
1350,0,1,0.186767417
2244,4,0,0.186836852
